edgeSet,flow
13 12 11 10 9 8 7 6 5 4 3 2 1 0,8 6 3 11 8 7 4 5 7 9 8 5 9 11
14 12 11 10 9 8 7 6 5 4 3 2 1 0,7 6 3 9 5 5 7 11 4 11 11 7 4 8
14 13 11 10 9 8 7 6 5 4 3 2 1 0,7 4 4 5 4 9 5 7 6 9 4 9 8 9
14 13 12 10 9 8 7 6 5 4 3 2 1 0,6 4 11 5 2 3 10 9 3 9 9 4 9 2
14 13 12 11 9 8 7 6 5 4 3 2 1 0,9 9 11 6 10 10 8 3 7 3 9 9 11 3
14 13 12 11 10 8 7 6 5 4 3 2 1 0,10 7 3 2 11 6 10 9 3 8 6 9 7 11
14 13 12 11 10 9 7 6 5 4 3 2 1 0,10 7 11 5 11 11 2 5 4 9 10 2 2 10
14 13 12 11 10 9 8 6 5 4 3 2 1 0,8 2 5 10 8 8 6 2 5 4 11 11 2 6
14 13 12 11 10 9 8 7 5 4 3 2 1 0,9 9 5 10 7 8 7 10 4 6 11 10 4 2
14 13 12 11 10 9 8 7 6 4 3 2 1 0,10 9 5 9 6 7 3 4 4 5 2 7 11 8
14 13 12 11 10 9 8 7 6 5 3 2 1 0,6 5 11 2 6 3 7 4 7 6 9 11 7 10
14 13 12 11 10 9 8 7 6 5 4 2 1 0,2 9 3 7 9 2 7 5 9 6 4 6 9 7
14 13 12 11 10 9 8 7 6 5 4 3 1 0,10 11 5 5 2 6 5 2 7 8 5 7 10 9
14 13 12 11 10 9 8 7 6 5 4 3 2 0,2 4 5 4 7 8 6 5 2 11 10 10 11 10
14 13 12 11 10 9 8 7 6 5 4 3 2 1,3 4 9 2 6 10 2 11 6 7 3 6 8 10
14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,5 9 7 11 8 10 5 4 8 3 8 4 11 6 7
15 12 11 10 9 8 7 6 5 4 3 2 1 0,5 9 8 7 11 4 10 2 8 9 10 4 3 10
15 13 11 10 9 8 7 6 5 4 3 2 1 0,7 6 9 2 2 2 5 11 3 7 6 2 9 5
15 13 12 10 9 8 7 6 5 4 3 2 1 0,6 4 5 8 3 7 6 2 8 4 8 7 9 3
15 13 12 11 9 8 7 6 5 4 3 2 1 0,2 2 10 11 10 4 11 6 6 10 10 3 9 5
15 13 12 11 10 8 7 6 5 4 3 2 1 0,11 9 2 6 3 10 5 4 8 5 8 7 7 8
15 13 12 11 10 9 7 6 5 4 3 2 1 0,8 10 7 3 7 6 6 9 9 4 4 5 5 11
15 13 12 11 10 9 8 6 5 4 3 2 1 0,3 2 2 6 4 8 11 8 2 4 5 10 3 9
15 13 12 11 10 9 8 7 5 4 3 2 1 0,9 2 11 10 9 6 5 10 9 5 10 4 7 4
15 13 12 11 10 9 8 7 6 4 3 2 1 0,5 8 11 9 2 8 3 9 9 7 11 6 5 3
15 13 12 11 10 9 8 7 6 5 3 2 1 0,7 8 3 6 3 9 8 3 7 2 11 6 6 3
15 13 12 11 10 9 8 7 6 5 4 2 1 0,5 5 6 7 9 3 9 7 11 6 3 11 11 7
15 13 12 11 10 9 8 7 6 5 4 3 1 0,2 8 11 5 10 2 9 11 5 2 2 11 7 5
15 13 12 11 10 9 8 7 6 5 4 3 2 0,11 2 10 2 6 6 11 5 8 7 6 9 4 11
15 13 12 11 10 9 8 7 6 5 4 3 2 1,5 2 6 6 4 2 10 4 10 5 9 6 10 5
15 13 12 11 10 9 8 7 6 5 4 3 2 1 0,6 5 8 5 2 11 11 2 6 6 7 8 5 9 4
15 14 11 10 9 8 7 6 5 4 3 2 1 0,6 11 6 9 4 9 4 5 4 11 9 9 8 2
15 14 12 10 9 8 7 6 5 4 3 2 1 0,8 2 6 7 2 5 6 11 3 7 2 8 3 9
15 14 12 11 9 8 7 6 5 4 3 2 1 0,10 11 11 5 3 2 7 11 4 7 9 7 7 4
15 14 12 11 10 8 7 6 5 4 3 2 1 0,10 8 7 5 8 11 11 6 11 7 10 7 5 6
15 14 12 11 10 9 7 6 5 4 3 2 1 0,10 7 6 3 4 11 11 5 5 10 7 5 7 5
15 14 12 11 10 9 8 6 5 4 3 2 1 0,2 8 9 8 10 5 11 10 8 10 4 3 7 10
15 14 12 11 10 9 8 7 5 4 3 2 1 0,4 7 5 11 9 2 3 11 9 2 3 2 2 4
15 14 12 11 10 9 8 7 6 4 3 2 1 0,5 11 9 2 9 4 7 11 5 7 9 7 2 3
15 14 12 11 10 9 8 7 6 5 3 2 1 0,10 9 4 3 2 4 5 4 2 8 4 5 5 5
15 14 12 11 10 9 8 7 6 5 4 2 1 0,9 6 9 11 6 3 9 4 5 2 6 8 9 4
15 14 12 11 10 9 8 7 6 5 4 3 1 0,3 9 3 5 7 9 10 10 8 9 11 7 2 8
15 14 12 11 10 9 8 7 6 5 4 3 2 0,2 9 6 3 7 3 10 9 4 6 7 7 5 4
